1956,Conference placeholder,Baltimore Orioles,69,Strike Splits placeholder,Ties placeholder,85,.448,28,Payroll placeholder
1956,Conference placeholder,Washington Senators,59,Strike Splits placeholder,Ties placeholder,95,.383,38,Payroll placeholder
1956,Conference placeholder,Kansas City Athletics,52,Strike Splits placeholder,Ties placeholder,102,.338,45,Payroll placeholder
1957,Conference placeholder,1957 American League Team Standings 1957 All-Star Game | 1957 Team Standings | 1957 World Series,1957 American League Team Standings 1957 All-Star Game | 1957 Team Standings | 1957 World Series,Strike Splits placeholder,Ties placeholder,1957 American League Team Standings 1957 All-Star Game | 1957 Team Standings | 1957 World Series,1957 American League Team Standings 1957 All-Star Game | 1957 Team Standings | 1957 World Series,1957 American League Team Standings 1957 All-Star Game | 1957 Team Standings | 1957 World Series,Payroll placeholder
1957,Conference placeholder,Team [Click for roster],Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1957,Conference placeholder,New York Yankees,98,Strike Splits placeholder,Ties placeholder,56,.636,0,Payroll placeholder
1957,Conference placeholder,Chicago White Sox,90,Strike Splits placeholder,Ties placeholder,64,.584,8,Payroll placeholder
1957,Conference placeholder,Boston Red Sox,82,Strike Splits placeholder,Ties placeholder,72,.532,16,Payroll placeholder
1957,Conference placeholder,Detroit Tigers,78,Strike Splits placeholder,Ties placeholder,76,.506,20,Payroll placeholder
1957,Conference placeholder,Baltimore Orioles,76,Strike Splits placeholder,Ties placeholder,76,.500,21,Payroll placeholder
1957,Conference placeholder,Cleveland Indians,76,Strike Splits placeholder,Ties placeholder,77,.497,21½,Payroll placeholder
1957,Conference placeholder,Kansas City Athletics,59,Strike Splits placeholder,Ties placeholder,94,.386,38½,Payroll placeholder
1957,Conference placeholder,Washington Senators,55,Strike Splits placeholder,Ties placeholder,99,.357,43,Payroll placeholder
1958,Conference placeholder,1958 American League Team Standings 1958 All-Star Game | 1958 Team Standings | 1958 World Series,1958 American League Team Standings 1958 All-Star Game | 1958 Team Standings | 1958 World Series,Strike Splits placeholder,Ties placeholder,1958 American League Team Standings 1958 All-Star Game | 1958 Team Standings | 1958 World Series,1958 American League Team Standings 1958 All-Star Game | 1958 Team Standings | 1958 World Series,1958 American League Team Standings 1958 All-Star Game | 1958 Team Standings | 1958 World Series,Payroll placeholder
1958,Conference placeholder,Team [Click for roster],Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1958,Conference placeholder,New York Yankees,92,Strike Splits placeholder,Ties placeholder,62,.597,0,Payroll placeholder
1958,Conference placeholder,Chicago White Sox,82,Strike Splits placeholder,Ties placeholder,72,.532,10,Payroll placeholder
1958,Conference placeholder,Boston Red Sox,79,Strike Splits placeholder,Ties placeholder,75,.513,13,Payroll placeholder
1958,Conference placeholder,Cleveland Indians,77,Strike Splits placeholder,Ties placeholder,76,.503,14½,Payroll placeholder
1958,Conference placeholder,Detroit Tigers,77,Strike Splits placeholder,Ties placeholder,77,.500,15,Payroll placeholder
1958,Conference placeholder,Baltimore Orioles,74,Strike Splits placeholder,Ties placeholder,79,.484,17½,Payroll placeholder
1958,Conference placeholder,Kansas City Athletics,73,Strike Splits placeholder,Ties placeholder,81,.474,19,Payroll placeholder
1958,Conference placeholder,Washington Senators,61,Strike Splits placeholder,Ties placeholder,93,.396,31,Payroll placeholder
1959,Conference placeholder,1959 American League Team Standings 1959 All-Star Game | 1959 Team Standings | 1959 World Series,1959 American League Team Standings 1959 All-Star Game | 1959 Team Standings | 1959 World Series,Strike Splits placeholder,Ties placeholder,1959 American League Team Standings 1959 All-Star Game | 1959 Team Standings | 1959 World Series,1959 American League Team Standings 1959 All-Star Game | 1959 Team Standings | 1959 World Series,1959 American League Team Standings 1959 All-Star Game | 1959 Team Standings | 1959 World Series,Payroll placeholder
1959,Conference placeholder,Team [Click for roster],Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1959,Conference placeholder,Chicago White Sox,94,Strike Splits placeholder,Ties placeholder,60,.610,0,Payroll placeholder
1959,Conference placeholder,Cleveland Indians,89,Strike Splits placeholder,Ties placeholder,65,.578,5,Payroll placeholder
1959,Conference placeholder,New York Yankees,79,Strike Splits placeholder,Ties placeholder,75,.513,15,Payroll placeholder
1959,Conference placeholder,Detroit Tigers,76,Strike Splits placeholder,Ties placeholder,78,.494,18,Payroll placeholder
1959,Conference placeholder,Boston Red Sox,75,Strike Splits placeholder,Ties placeholder,79,.487,19,Payroll placeholder
1959,Conference placeholder,Baltimore Orioles,74,Strike Splits placeholder,Ties placeholder,80,.481,20,Payroll placeholder
1959,Conference placeholder,Kansas City Athletics,66,Strike Splits placeholder,Ties placeholder,88,.429,28,Payroll placeholder
1959,Conference placeholder,Washington Senators,63,Strike Splits placeholder,Ties placeholder,91,.409,31,Payroll placeholder
